id,ecosystem,flag,package,malicious_versions,discovered_date,attack_category,technical_mechanism,registry_status_reported,registry_status_verified,source
97,PyPI,X-ECO,ppkt2synergy,0.1.1,2026-06-23,Bun-runtime JS stealer via .pth startup,part of Hades campaign wheel set,unconfirmed,VERIFIED: package live on PyPI (2 releases),Orca Security Hades report
98,PyPI,X-ECO,embiggen,0.11.97,2026-06-23,Bun-runtime JS stealer via .pth startup,part of Hades campaign wheel set,unconfirmed,VERIFIED: package live on PyPI (116 releases),Orca Security Hades report
99,PyPI,X-ECO,gpsea,0.9.14,2026-06-23,Bun-runtime JS stealer via .pth startup,part of Hades campaign wheel set,unconfirmed,VERIFIED: package live on PyPI (23 releases),Orca Security Hades report
100,PyPI,X-ECO,pyphetools,0.9.120,2026-06-23,Bun-runtime JS stealer via .pth startup,part of Hades campaign wheel set,unconfirmed,VERIFIED: package live on PyPI (201 releases),Orca Security Hades report
101,RubyGems,X-ECO,bootstrap-sass,3.2.0.3,2019-03-26,compromised registry publish + RCE backdoor,hidden backdoor in middleware.rb; crafted cookie value executed via eval(),removed from RubyGems; fixed in 3.2.0.4,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,CVE-2019-10842; Snyk
103,RubyGems,X-ECO,doge-coin replicated wave,multiple Aug 2019,2019-08-01,replicated-library backdoor + cryptomining,full copies of legit libraries with injected coin-mining/exfil code,removed,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,ZDNet Aug 2019
102,RubyGems,X-ECO,rest-client,1.6.10; 1.6.11; 1.6.12; 1.6.13,2019-08-19,compromised maintainer account + backdoor + cryptominer,backdoor activated when Rails.env starts with p; exfiltrated env vars/cookies,yanked; fixed in 1.6.14,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,CVE-2019-15224; GHSA-333g-rpr4-7hxq
104,RubyGems,X-ECO,tmt,multiple versions,2023-02-01,time-triggered backdoor + credential theft,delayed-activation logic; exfiltrates credentials after time trigger,removed,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Socket RubyGems time-based attack report 2023
105,RubyGems,X-ECO,zon (60-gem cluster),published Mar 2023-Aug 2025,2025-08-07,imposter automation tools + credential theft,gems delivered real automation while exfiltrating credentials to attacker infra,removed,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Socket 60-gem campaign report
106,RubyGems,X-ECO,GemStuffer,ongoing 2026,2026-05-13,registry-as-exfil-channel,uses gem push to publish stolen data as public gem versions,unconfirmed,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Socket GemStuffer report
107,RubyGems,X-ECO,git_credential_manager,2.8.3,2026-07-01,persistent backdoor,setuid ping6 backdoor; systemd/cron persistence; C2 at git.disroot.org,unconfirmed - verify before fetch,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,StepSecurity SleeperGem report 2026-07
108,RubyGems,X-ECO,Dendreo,multiple,2026-07-01,persistent backdoor,drop of setuid ping6 rootkit binary plus persistence mechanisms,unconfirmed,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,StepSecurity SleeperGem report 2026-07
109,RubyGems,X-ECO,fastlane-plugin-run_tests_firebase_testlab,multiple,2026-07-01,persistent backdoor,drop of setuid ping6 rootkit binary plus persistence mechanisms,unconfirmed,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,StepSecurity SleeperGem report 2026-07
RUSTSEC-2022-0042,crates.io,RUST,rustdecimal,see advisory,2022-05-10,code-execution; malicious, -- # malicious crate `rustdecimal` The Rust Security Response WG and the crates.io team [were notified][1] on 2022-05-02 of the existence of the malicious crate `rustdecimal`; which contained malware. The crate name was intentionally similar to the name of the popular [`rust_decimal`][2] crate; hoping ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2022-0042
RUSTSEC-2023-0098,crates.io,RUST,if-cfg,see advisory,2023-08-16,malicious, -- # `if-cfg` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `amaperf` and contained a malware payload in build.rs to exfiltrate host information to the attacker. This advisory is to retrospectively document this atte,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0098
RUSTSEC-2023-0100,crates.io,RUST,xrvrv,see advisory,2023-08-16,malicious, -- # `xrvrv` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `amaperf` and contained a malware payload in build.rs to exfiltrate host information to the attacker. This advisory is to retrospectively document this attem,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0100
RUSTSEC-2023-0099,crates.io,RUST,envlogger,see advisory,2023-08-16,malicious, -- # `envlogger` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `amaperf` and contained a malware payload in build.rs to exfiltrate host information to the attacker. This advisory is to retrospectively document this a,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0099
RUSTSEC-2023-0103,crates.io,RUST,postgress,see advisory,2023-08-16,malicious, -- # `postgress` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `amaperf` and contained a malware payload in build.rs to exfiltrate host information to the attacker. This advisory is to retrospectively document this a,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0103
RUSTSEC-2023-0102,crates.io,RUST,serd,see advisory,2023-08-16,malicious, -- # `serd` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `amaperf` and contained a malware payload in build.rs to exfiltrate host information to the attacker. This advisory is to retrospectively document this attemp,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0102
RUSTSEC-2023-0097,crates.io,RUST,lazystatic,see advisory,2023-08-16,malicious, -- # `lazystatic` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `amaperf` and contained a malware payload in build.rs to exfiltrate host information to the attacker. This advisory is to retrospectively document this ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0097
RUSTSEC-2023-0101,crates.io,RUST,oncecell,see advisory,2023-08-16,malicious, -- # `oncecell` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `amaperf` and contained a malware payload in build.rs to exfiltrate host information to the attacker. This advisory is to retrospectively document this at,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0101
RUSTSEC-2023-0110,crates.io,RUST,postgresderive,see advisory,2023-08-18,malicious, -- # `postgresderive` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `amaperf` and contained a malware payload in `build.rs` to exfiltrate host information to the attacker. This advisory is to retrospectively document,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0110
RUSTSEC-2023-0114,crates.io,RUST,tiny-server,see advisory,2023-11-06,malicious, -- # `tiny-server` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `http-tiny` and contained a malware payload in `build.rs` to exfiltrate host information to the attacker. This advisory is to retrospectively document ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0114
RUSTSEC-2023-0104,crates.io,RUST,littest,see advisory,2023-11-06,malicious, -- # `littest` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the malicious user `http-tiny` and contained a malware payload in `build.rs` to exfiltrate host information to the attacker. This advisory is to retrospectively document this,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0104
RUSTSEC-2023-0109,crates.io,RUST,win-crypto,see advisory,2023-11-15,malicious, -- # `win-crypto` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and dow,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0109
RUSTSEC-2023-0112,crates.io,RUST,monero-rpc-rs,see advisory,2023-11-15,malicious, -- # `monero-rpc-rs` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0112
RUSTSEC-2023-0116,crates.io,RUST,registry-win,see advisory,2023-11-15,malicious, -- # `registry-win` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and d,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0116
RUSTSEC-2023-0118,crates.io,RUST,win_run_rs,see advisory,2023-11-15,malicious, -- # `win_run_rs` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and dow,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0118
RUSTSEC-2023-0106,crates.io,RUST,lfest-main,see advisory,2023-11-15,malicious, -- # `lfest-main` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and dow,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0106
RUSTSEC-2023-0113,crates.io,RUST,win-base64-rs,see advisory,2023-11-15,malicious, -- # `win-base64-rs` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0113
RUSTSEC-2023-0121,crates.io,RUST,libusb1-main,see advisory,2023-11-15,malicious, -- # `libusb1-main` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and d,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0121
RUSTSEC-2023-0120,crates.io,RUST,windows-service-rs,see advisory,2023-11-15,malicious, -- # `windows-service-rs` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0120
RUSTSEC-2023-0107,crates.io,RUST,lasso-rs,see advisory,2023-11-15,malicious, -- # `lasso-rs` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and downl,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0107
RUSTSEC-2023-0111,crates.io,RUST,monero-api,see advisory,2023-11-15,malicious, -- # `monero-api` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and dow,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0111
RUSTSEC-2023-0122,crates.io,RUST,winx-rs,see advisory,2023-11-15,malicious, -- # `winx-rs` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and downlo,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0122
RUSTSEC-2023-0115,crates.io,RUST,acceptxmr-rs,see advisory,2023-11-15,malicious, -- # `acceptxmr-rs` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `Kraded` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and d,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0115
RUSTSEC-2023-0123,crates.io,RUST,hann-rs-service,see advisory,2023-11-18,malicious, -- # `hann-rs-service` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `TerryDavisSoldier` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version inf,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0123
RUSTSEC-2023-0119,crates.io,RUST,openvpn-plugin-rs,see advisory,2023-11-18,malicious, -- # `openvpn-plugin-rs` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `TerryDavisSoldier` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version i,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0119
RUSTSEC-2023-0105,crates.io,RUST,windowsservice,see advisory,2023-11-18,malicious, -- # `windowsservice` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `TerryDavisSoldier` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version info,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0105
RUSTSEC-2023-0108,crates.io,RUST,tauri-win-rt-notification,see advisory,2023-11-20,malicious, -- # `tauri-win-rt-notification` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `gabielle55131` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The versi,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0108
RUSTSEC-2023-0117,crates.io,RUST,tauri-winrt-notifications,see advisory,2023-11-20,malicious, -- # `tauri-winrt-notifications` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `gabielle55131` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The versi,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2023-0117
RUSTSEC-2023-0124,crates.io,RUST,bit-flags,see advisory,2023-12-22,malicious, -- # `bit-flags` was removed from crates.io for malicious code This crate was part of a typosquatting malware cluster published by the user `alexrichton` to run an arbitrary malware payload on Windows hosts. This advisory is to retrospectively document this attempted attack. The version information and,see advisory,"VERIFIED: crate live on crates.io (3 versions, 0 yanked)",RustSec RUSTSEC-2023-0124
RUSTSEC-2025-0158,crates.io,RUST,jfrog_quotes,see advisory,2025-01-30,malicious, -- # `jfrog_quotes` was removed from crates.io for malicious code `jfrog_quotes` was part of a campaign that attempted to exfiltrate environmental data from the host. The malicious crate had 1 version published in January 2025; and had no evidence of actual usage. This crate had no dependencies on crat,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0158
RUSTSEC-2025-0160,crates.io,RUST,custom-req-on-workers,see advisory,2025-01-30,malicious, -- # `custom-req-on-workers` was removed from crates.io for malicious code `custom-req-on-workers` was part of a campaign that attempted to exfiltrate environmental data from the host. The malicious crate had 1 version published in January 2025; and had no evidence of actual usage. This crate had no de,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0160
RUSTSEC-2025-0155,crates.io,RUST,rands,see advisory,2025-02-10,malicious, -- # `rands` was removed from crates.io for malicious code This crate attempted to typosquat the `rand` crate; and would link in a malware payload on macOS and Linux hosts when built. This advisory is to retrospectively document this attempted attack. The version information and download records of the,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0155
RUSTSEC-2025-0159,crates.io,RUST,sophosfirewall-python,see advisory,2025-02-15,malicious, -- # `sophosfirewall-python` was removed from crates.io for malicious code `sophosfirewall-python` was part of a campaign that attempted to exfiltrate environmental data from the host. The malicious crate had 6 versions published in February 2025; and had no evidence of actual usage. This crate had no ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0159
RUSTSEC-2025-0156,crates.io,RUST,tree-sitter-pkl,see advisory,2025-03-10,malicious, -- # `tree-sitter-pkl` was removed from crates.io for malicious code `tree-sitter-pkl` was part of a campaign that attempted to exfiltrate environmental data from the host. The malicious crate had 1 version published in March 2025; and had no evidence of actual usage. This crate had no dependencies on ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0156
RUSTSEC-2025-0157,crates.io,RUST,statsrelay-protobuf,see advisory,2025-08-26,malicious, -- # `statsrelay-protobuf` was removed from crates.io for malicious code `statsrelay-protobuf` was part of a campaign that attempted to exfiltrate environmental data from the host. The malicious crate had 1 version published in August 2025; and had no evidence of actual usage. This crate had no depende,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0157
RUSTSEC-2025-0154,crates.io,RUST,replit_ruspty,see advisory,2025-11-04,malicious, -- # `replit_ruspty` was removed from crates.io for malicious code The OpenSSF Package Analysis project identified 'replit_ruspty' @ 1.0.0 (crates.io) as malicious. Version 2.0.0 was also published with malware. It is considered malicious because: The package communicates with a domain associated with ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0154
RUSTSEC-2025-0145,crates.io,RUST,uniswap-utils,see advisory,2025-12-03,malicious, -- # `uniswap-utils` was removed from crates.io for malicious code It depended on the `evm-units` crate; which appeared to be attempting to steal cryptocurrency.,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0145
RUSTSEC-2025-0147,crates.io,RUST,evm-units,see advisory,2025-12-03,malicious, -- # `evm-units` was removed from crates.io for malicious code It appeared to be attempting to steal cryptocurrency.,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0147
RUSTSEC-2025-0146,crates.io,RUST,sha-rust,see advisory,2025-12-05,malicious, -- # `sha-rust` was removed from crates.io for malicious code It appeared to be attempting to steal credentials from local files.,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0146
RUSTSEC-2025-0148,crates.io,RUST,finch-rust,see advisory,2025-12-05,malicious, -- # `finch-rust` was removed from crates.io for malicious code It depended on the `sha-rust` crate; which appeared to be attempting to steal credentials from local files.,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0148
RUSTSEC-2025-0152,crates.io,RUST,finch_cli_rust,see advisory,2025-12-09,malicious, -- # `finch_cli_rust` was removed from crates.io for malicious code This attempts to typosquat the existing crate [`finch_cli`](https://crates.io/crates/finch_cli) to steal credentials from local files. The malicious crate had 1 version published on 2025-12-08 and had been downloaded 18 times. There we,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0152
RUSTSEC-2025-0150,crates.io,RUST,finch-rst,see advisory,2025-12-09,malicious, -- # `finch-rst` was removed from crates.io for malicious code This attempts to typosquat the existing crate [`finch`](https://crates.io/crates/finch) to steal credentials from local files. The malicious crate had 1 version published on 2025-12-08 and had been downloaded 21 times. There were no crates ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0150
RUSTSEC-2025-0151,crates.io,RUST,sha-rst,see advisory,2025-12-09,malicious, -- # `sha-rst` was removed from crates.io for malicious code This crate was used as a dependency by `finch_cli_rust` and `finch-rst` and contained a malware payload to exfiltrate credentials. The malicious crate had 1 version published on 2025-12-08 and had been downloaded 22 times. Other than the othe,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2025-0151
RUSTSEC-2026-0010,crates.io,RUST,polymarket-clients-sdk,see advisory,2026-02-06,malicious, -- # `polymarket-clients-sdk` was removed from crates.io for malicious code It appeared to be typosquatting existing crate [`polymarket-client-sdk`](https://crates.io/crates/polymarket-client-sdk) (`clients` vs `client`) and attempting to steal credentials from local files. The malicious crate had 6 ve,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0010
RUSTSEC-2026-0011,crates.io,RUST,polymarket-client-sdks,see advisory,2026-02-13,malicious, -- # `polymarket-client-sdks` was removed from crates.io for malicious code It appeared to be typosquatting existing crate [`polymarket-client-sdk`](https://crates.io/crates/polymarket-client-sdk) (`sdks` vs `sdk`) and attempting to steal credentials from local files. The malicious crate had 1 version ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0011
RUSTSEC-2026-0014,crates.io,RUST,rpc-check,see advisory,2026-02-19,malicious, -- # `rpc-check` was removed from crates.io for malicious code It was attempting to steal credentials from the `POLYMARKET_PRIVATE_KEY` environment variable. The malicious crate had 3 versions published on 2026-02-15 and had been downloaded only 155 times. There were no crates depending on this crate o,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0014
RUSTSEC-2026-0015,crates.io,RUST,polymarkets-client-sdk,see advisory,2026-02-19,malicious, -- # `polymarkets-client-sdk` was removed from crates.io for malicious code It appeared to be typosquatting existing crate [`polymarket-client-sdk`](https://crates.io/crates/polymarket-client-sdk) (`polymarkets` vs `polymarket`) and attempting to steal credentials from local files. The malicious crate ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0015
RUSTSEC-2026-0017,crates.io,RUST,clob-sdk,see advisory,2026-02-20,malicious, -- # `clob-sdk` was removed from crates.io for malicious code This is part of an ongoing campaign to attempt to typosquat crates in the [`polymarket-client-sdk`](https://crates.io/crates/polymarket-client-sdk) ecosystem to exfiltrate user credentials. The malicious crate had 1 version published on 2026,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0017
